tag,count,datatypes
items.[].customDefinedFields.researchoutput_classification_supplier.typeDiscriminator,10,str
items.[].customDefinedFields.researchoutput_date_invoice_date,10,dict
items.[].customDefinedFields.researchoutput_date_invoice_date.typeDiscriminator,10,str
items.[].customDefinedFields.researchoutput_date_date_invoice_paid,10,dict
items.[].customDefinedFields.researchoutput_date_date_invoice_paid.typeDiscriminator,10,str
items.[].customDefinedFields.researchoutput_classification_budget,10,dict
items.[].customDefinedFields.researchoutput_classification_budget.typeDiscriminator,10,str
items.[].customDefinedFields.researchoutput_classification_open_access_type,10,dict
items.[].customDefinedFields.researchoutput_classification_open_access_type.typeDiscriminator,10,str
items.[].pages,10,str
items.[].volume,10,str
items.[].journalAssociation,10,dict
items.[].journalAssociation.pureId,10,int
items.[].journalAssociation.title,10,dict
items.[].journalAssociation.title.pureId,10,int
items.[].journalAssociation.title.title,10,str
items.[].journalAssociation.issn,10,dict
items.[].journalAssociation.issn.pureId,10,int
items.[].journalAssociation.issn.issn,10,str
items.[].journalAssociation.journal,10,dict
items.[].journalAssociation.journal.systemName,10,str
items.[].journalAssociation.journal.uuid,10,str
items.[].journalNumber,10,str
items.[].numberOfPages,1,int
items.[].externalOrganizations,1,list
items.[].externalOrganizations.[],1,dict
items.[].externalOrganizations.[].systemName,1,str
items.[].externalOrganizations.[].uuid,1,str
items.[].abstract,9,dict
items.[].abstract.en_GB,9,str
items.[].systemName,10,str
items.[].previousUuids,1,list
items.[].previousUuids.[],1,str
items.[].electronicVersions.[].licenseType,1,dict
items.[].electronicVersions.[].licenseType.uri,1,str
items.[].electronicVersions.[].licenseType.term,1,dict
items.[].electronicVersions.[].licenseType.term.en_GB,1,str
items.[].contributors.[].organizations,1,list
items.[].contributors.[].organizations.[],1,dict
items.[].contributors.[].organizations.[].systemName,1,str
items.[].contributors.[].organizations.[].uuid,1,str
items.[].electronicVersions.[].embargoPeriod,1,dict
items.[].electronicVersions.[].embargoPeriod.endDate,1,str
