tag,count,datatypes
root.items.[].keywordGroups.[].keywords.[].freeKeywords.[],37,str
root.items.[].keywordGroups.[].keywords.[].locale,7,str
root.items.[].keywordGroups.[].keywords.[].pureId,7,int
root.items.[].keywordGroups.[].logicalName,20,str
root.items.[].keywordGroups.[].name,20,dict
root.items.[].keywordGroups.[].name.en_GB,20,str
root.items.[].keywordGroups.[].pureId,20,int
root.items.[].keywordGroups.[].typeDiscriminator,20,str
root.items.[].language,10,dict
root.items.[].language.term,10,dict
root.items.[].language.term.en_GB,10,str
root.items.[].language.uri,10,str
root.items.[].links,10,list
root.items.[].links.[],15,dict
root.items.[].links.[].linkType,15,dict
root.items.[].links.[].linkType.term,15,dict
root.items.[].links.[].linkType.term.en_GB,15,str
root.items.[].links.[].linkType.uri,15,str
root.items.[].links.[].pureId,15,int
root.items.[].links.[].url,15,str
root.items.[].managingOrganization,10,dict
root.items.[].managingOrganization.systemName,10,str
root.items.[].managingOrganization.uuid,10,str
root.items.[].modifiedBy,10,str
root.items.[].modifiedDate,10,str
root.items.[].numberOfPages,1,int
root.items.[].organizations,10,list
root.items.[].organizations.[],12,dict
root.items.[].organizations.[].systemName,12,str
root.items.[].organizations.[].uuid,12,str
root.items.[].pages,10,str
root.items.[].peerReview,10,bool
root.items.[].portalUrl,10,str
root.items.[].previousUuids,1,list
root.items.[].previousUuids.[],1,str
root.items.[].publicationStatuses,10,list
root.items.[].publicationStatuses.[],29,dict
root.items.[].publicationStatuses.[].current,29,bool
root.items.[].publicationStatuses.[].publicationDate,29,dict
root.items.[].publicationStatuses.[].publicationDate.day,29,int
root.items.[].publicationStatuses.[].publicationDate.month,29,int
root.items.[].publicationStatuses.[].publicationDate.year,29,int
root.items.[].publicationStatuses.[].publicationStatus,29,dict
root.items.[].publicationStatuses.[].publicationStatus.term,29,dict
root.items.[].publicationStatuses.[].publicationStatus.term.en_GB,29,str
root.items.[].publicationStatuses.[].publicationStatus.uri,29,str
root.items.[].publicationStatuses.[].pureId,29,int
